Type,Vehicles Category,Type of Vehicles,Newly registered - 2002-03,Newly registered - 2003-04,Total registered as on - 31.3.2003,Total registered as on - 31.3.2004,source_file,Newly registered-2004-05,Newly registered-2005-06,Total registered as on 31.3.2005,Total registered as on 31.3.2006,Newly registered-2009-10,Newly registered-2010-11,Total registered as on 31st March-2010,Total registered as on 31st March-2011,Newly registered-2006-07,Newly registered-2007-08,Newly registered-2008-09,Total registered as on 2007,Total registered as on 2008,Total registered as on 2009,Newly registered-2011-12,Total registered as on 31st March 2012
Non Transport,V. Tractors,Tractors,4151.0,6019.0,111200.0,77848.0,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,VI. Trailers,Trailers,2642.0,3024.0,66497.0,50403.0,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,VII. Other vehicles not covered,Other vehicles not covered,1296.0,318.0,4779.0,2928.0,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,Total Non Transport (I to VII),Total Non-Transport,76322.0,111463.0,953521.0,653423.0,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport + Non-transport,Grand Total (Transport + Non-Transport),Grand Total (Transport + Non-Transport),80660.0,116693.0,1121398.0,750703.0,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,I. Multiaxled / Articulated Vehicles,Multiaxled / Articulated Vehicles,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,II. Trucks & Lorries,Trucks & Lorries,,,,,bihar_transport_combined.csv,489.0,579.0,49437.0,50016.0,,,,,,,,,,,,
Transport,III. Light Motor Vehicles (Goods),Four Wheelers,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,III. Light Motor Vehicles (Goods),Three Wheelers,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,Total-III. Light Motor Vehicles (Goods),Total Light Motor Vehicles (Goods),,,,,bihar_transport_combined.csv,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Transport,IV. Buses,Stage carriages,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Contract carriages,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Private service vehicles,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Other buses,,,,,bihar_transport_combined.csv,146.0,113.0,16158.0,16271.0,,,,,,,,,,,,
Transport,Total-IV. Buses,Total Buses,,,,,bihar_transport_combined.csv,146.0,113.0,16158.0,16271.0,,,,,,,,,,,,
Transport,V. Taxis,Motor cabs,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Maxi cabs,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Other taxis,,,,,bihar_transport_combined.csv,284.0,427.0,22271.0,22698.0,,,,,,,,,,,,
Transport,Total- V. Taxis,Total Taxis,,,,,bihar_transport_combined.csv,284.0,427.0,22271.0,22698.0,,,,,,,,,,,,
Transport,VI. Light Motor Vehicles (Passengers),Three seaters,,,,,bihar_transport_combined.csv,2882.0,3273.0,39823.0,43096.0,,,,,,,,,,,,
Transport,VI. Light Motor Vehicles (Passengers),Four to six seaters,,,,,bihar_transport_combined.csv,284.0,427.0,2227.0,2269.0,,,,,,,,,,,,
Transport,Total- VI. Light Motor Vehicles (Passengers),Total Light Motor Vehicles (Passengers),,,,,bihar_transport_combined.csv,3166.0,3700.0,42050.0,45365.0,,,,,,,,,,,,
Transport,VII. Motor cycles on hire,Motor cycles on hire,,,,,bihar_transport_combined.csv,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Transport,Total Transport(I to VII),Total Transport,,,,,bihar_transport_combined.csv,4085.0,4819.0,129916.0,134350.0,,,,,,,,,,,,
Non Transport,I. Two wheelers,Scooters,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Mopeds,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Motor cycles,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,Total-I. Two wheelers,Total Two wheelers,,,,,bihar_transport_combined.csv,73281.0,61333.0,903261.0,964594.0,,,,,,,,,,,,
Non Transport,II. Cars,Cars,,,,,bihar_transport_combined.csv,3499.0,5062.0,71834.0,76896.0,,,,,,,,,,,,
Non Transport,III. Jeeps,Jeeps,,,,,bihar_transport_combined.csv,1836.0,2321.0,39542.0,41863.0,,,,,,,,,,,,
Non Transport,IV. Omni buses,Omni buses,,,,,bihar_transport_combined.csv,146.0,113.0,16158.0,16271.0,,,,,,,,,,,,
Non Transport,V. Tractors,Tractors,,,,,bihar_transport_combined.csv,5244.0,3509.0,126968.0,130477.0,,,,,,,,,,,,
Non Transport,VI. Trailers,Trailers,,,,,bihar_transport_combined.csv,3056.0,2440.0,73154.0,75594.0,,,,,,,,,,,,
Non Transport,VII. Other vehicles not covered,Other vehicles not covered,,,,,bihar_transport_combined.csv,410.0,1306.0,7263.0,8569.0,,,,,,,,,,,,
Non Transport,Total Non Transport (I to VII),Total Non-Transport,,,,,bihar_transport_combined.csv,87472.0,76084.0,1238180.0,1314264.0,,,,,,,,,,,,
Transport + Non-transport,Grand Total (Transport + Non-Transport),Grand Total (Transport + Non-Transport),,,,,bihar_transport_combined.csv,91557.0,80903.0,1368096.0,1448614.0,,,,,,,,,,,,
Transport,I. Multiaxled / Articulated Vehicles,Multiaxled / Articulated Vehicles,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,II. Trucks & Lorries,Trucks & Lorries,,,,,bihar_transport_combined.csv,,,,,8473.0,6987.0,66485.0,73472.0,,,,,,,,
Transport,III. Light Motor Vehicles (Goods),Four Wheelers,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,III. Light Motor Vehicles (Goods),Three Wheelers,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,Total-III. Light Motor Vehicles (Goods),Total Light Motor Vehicles (Goods),,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Stage carriages,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Contract carriages,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Private service vehicles,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Other buses,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,Total-IV. Buses,Total Buses,,,,,bihar_transport_combined.csv,,,,,1555.0,1494.0,21209.0,22703.0,,,,,,,,
Transport,V. Taxis,Motor cabs,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Maxi cabs,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Other taxis,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,Total- V. Taxis,Total Taxis,,,,,bihar_transport_combined.csv,,,,,7347.0,5419.0,38204.0,43623.0,,,,,,,,
Transport,VI. Light Motor Vehicles (Passengers),Three seaters,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,VI. Light Motor Vehicles (Passengers),Four to six seaters,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,Total- VI. Light Motor Vehicles (Passengers),Total Light Motor Vehicles (Passengers),,,,,bihar_transport_combined.csv,,,,,12392.0,17422.0,74968.0,92390.0,,,,,,,,
Transport,VII. Motor cycles on hire,Motor cycles on hire,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,Total Transport(I to VII),Total Transport,,,,,bihar_transport_combined.csv,,,,,29767.0,31322.0,200866.0,232188.0,,,,,,,,
Non Transport,I. Two wheelers,Scooters,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Mopeds,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Motor cycles,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,Total-I. Two wheelers,Total Two wheelers,,,,,bihar_transport_combined.csv,,,,,241856.0,292404.0,1606613.0,1899017.0,,,,,,,,
Non Transport,II. Cars,Cars,,,,,bihar_transport_combined.csv,,,,,14954.0,18814.0,188031.0,136845.0,,,,,,,,
Non Transport,III. Jeeps,Jeeps,,,,,bihar_transport_combined.csv,,,,,9862.0,9746.0,66132.0,75878.0,,,,,,,,
Non Transport,IV. Omni buses,Omni buses,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,V. Tractors,Tractors,,,,,bihar_transport_combined.csv,,,,,19496.0,21055.0,175500.0,196555.0,,,,,,,,
Non Transport,VI. Trailers,Trailers,,,,,bihar_transport_combined.csv,,,,,10529.0,10942.0,104272.0,115214.0,,,,,,,,
Non Transport,VII. Other vehicles not covered,Other vehicles not covered,,,,,bihar_transport_combined.csv,,,,,969.0,1948.0,15572.0,17512.0,,,,,,,,
Non Transport,Total Non Transport (I to VII),Total Non-Transport,,,,,bihar_transport_combined.csv,,,,,297666.0,354909.0,2156120.0,2441021.0,,,,,,,,
Transport + Non-transport,Grand Total (Transport + Non-Transport),Grand Total (Transport + Non-Transport),,,,,bihar_transport_combined.csv,,,,,327433.0,386231.0,2356986.0,2673209.0,,,,,,,,
,,,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,I. Multiaxled / Articulated Vehicles,Multiaxled / Articulated Vehicles,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,II. Trucks & Lorries,Trucks & Lorries,,,,,bihar_transport_combined.csv,,,,,,,,,1989.0,2409.0,3598.0,52005.0,54414.0,58012.0,,
Transport,III. Light Motor Vehicles (Goods),Four Wheelers,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,III. Light Motor Vehicles (Goods),Three Wheelers,,,,,bihar_transport_combined.csv,,,,,,,,,5027.0,6030.0,8423.0,48123.0,54153.0,62576.0,,
Transport,Total-III. Light Motor Vehicles (Goods),Total Light Motor Vehicles (Goods),,,,,bihar_transport_combined.csv,,,,,,,,,5027.0,6030.0,8423.0,48123.0,54153.0,62576.0,,
Transport,IV. Buses,Stage carriages,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Contract carriages,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Private service vehicles,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Other buses,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,Total-IV. Buses,Total Buses,,,,,bihar_transport_combined.csv,,,,,,,,,921.0,1341.0,1121.0,17192.0,18533.0,19654.0,,
Transport,V. Taxis,Motor cabs,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Maxi cabs,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Other taxis,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,Total- V. Taxis,Total Taxis,,,,,bihar_transport_combined.csv,,,,,,,,,1326.0,3042.0,3791.0,24024.0,27066.0,30857.0,,
Transport,VI. Light Motor Vehicles (Passengers),Three seaters,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,VI. Light Motor Vehicles (Passengers),Four to six seaters,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,Total- VI. Light Motor Vehicles (Passengers),Total Light Motor Vehicles (Passengers),,,,,bihar_transport_combined.csv,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
Transport,VII. Motor cycles on hire,Motor cycles on hire,,,,,bihar_transport_combined.csv,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
Transport,Total Transport(I to VII),Total Transport,,,,,bihar_transport_combined.csv,,,,,,,,,9263.0,12822.0,16933.0,141344.0,154166.0,171099.0,,
Non Transport,I. Two wheelers,Scooters,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Mopeds,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Motor cycles,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,Total-I. Two wheelers,Total Two wheelers,,,,,bihar_transport_combined.csv,,,,,,,,,112985.0,120296.0,166882.0,1077579.0,1197875.0,1364757.0,,
Non Transport,II. Cars,Cars,,,,,bihar_transport_combined.csv,,,,,,,,,7409.0,8223.0,10549.0,84305.0,92528.0,103077.0,,
Non Transport,III. Jeeps,Jeeps,,,,,bihar_transport_combined.csv,,,,,,,,,4430.0,4229.0,5748.0,46293.0,50522.0,56270.0,,
Non Transport,IV. Omni buses,Omni buses,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,V. Tractors,Tractors,,,,,bihar_transport_combined.csv,,,,,,,,,6160.0,8164.0,11203.0,136637.0,144801.0,156004.0,,
Non Transport,VI. Trailers,Trailers,,,,,bihar_transport_combined.csv,,,,,,,,,5281.0,5358.0,7510.0,80875.0,86233.0,93743.0,,
Non Transport,VII. Other vehicles not covered,Other vehicles not covered,,,,,bihar_transport_combined.csv,,,,,,,,,1781.0,2665.0,1588.0,10350.0,13015.0,14603.0,,
Non Transport,Total Non Transport (I to VII),Total Non-Transport,,,,,bihar_transport_combined.csv,,,,,,,,,138046.0,148935.0,203480.0,1436039.0,1584974.0,1788454.0,,
Transport + Non-transport,Grand Total (Transport + Non-Transport),Grand Total (Transport + Non-Transport),,,,,bihar_transport_combined.csv,,,,,,,,,147309.0,161757.0,220413.0,1577383.0,1739140.0,1959553.0,,
Transport,I. Multiaxled / Articulated Vehicles,Multiaxled / Articulated Vehicles,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,1889.0,
Transport,II. Trucks & Lorries,Trucks & Lorries,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,9719.0,83191.0
Transport,III. Light Motor Vehicles (Goods),Four Wheelers,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,4447.0,
Transport,III. Light Motor Vehicles (Goods),Three Wheelers,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,1183.0,
Transport,Total-III. Light Motor Vehicles (Goods),Total Light Motor Vehicles (Goods),,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,5630.0,
Transport,IV. Buses,Stage carriages,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Contract carriages,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Private service vehicles,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Other buses,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,Total-IV. Buses,Total Buses,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,1394.0,24097.0
Transport,V. Taxis,Motor cabs,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Maxi cabs,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Other taxis,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,Total- V. Taxis,Total Taxis,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,8595.0,52218.0
Transport,VI. Light Motor Vehicles (Passengers),Three seaters,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,VI. Light Motor Vehicles (Passengers),Four to six seaters *,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,19515.0,
Transport,Total- VI. Light Motor Vehicles (Passengers),Total Light Motor Vehicles (Passengers),,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,19515.0,113088.0
Transport,VII. Motor cycles on hire,Motor cycles on hire,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Transport,Total Transport(I to VII),Total Transport,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,46742.0,272594.0
Non Transport,I. Two wheelers,Scooters,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,602.0,
Non Transport,I. Two wheelers,Mopeds,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Motor cycles,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,333450.0,
Non Transport,Total-I. Two wheelers,Total Two wheelers,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,334052.0,2230069.0
Non Transport,II. Cars,Cars,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,23495.0,160340.0
Non Transport,III. Jeeps,Jeeps,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,9071.0,84949.0
Non Transport,IV. Omni buses,Omni buses,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,,
Non Transport,V. Tractors,Tractors,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,22954.0,219509.0
Non Transport,VI. Trailers,Trailers,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,11404.0,126618.0
Non Transport,VII. Other vehicles not covered,Other vehicles not covered,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,1289.0,18801.0
Non Transport,Total Non Transport (I to VII),Total Non-Transport,,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,402265.0,2840286.0
Transport + Non-transport,Grand Total (Transport + Non-Transport),Grand Total (Transport + Non-Transport),,,,,bihar_transport_combined.csv,,,,,,,,,,,,,,,449007.0,3112880.0
Transport,I. Multiaxled / Articulated Vehicles,Multiaxled / Articulated Vehicles,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,1889.0,
Transport,II. Trucks & Lorries,Trucks & Lorries,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,9719.0,83191.0
Transport,III. Light Motor Vehicles (Goods),Four Wheelers,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,4447.0,
Transport,III. Light Motor Vehicles (Goods),Three Wheelers,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,1183.0,
Transport,Total-III. Light Motor Vehicles (Goods),Total Light Motor Vehicles (Goods),,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,5630.0,
Transport,IV. Buses,Stage carriages,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Contract carriages,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Private service vehicles,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Other buses,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,,
Transport,Total-IV. Buses,Total Buses,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,1394.0,24097.0
Transport,V. Taxis,Motor cabs,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Maxi cabs,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Other taxis,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,,
Transport,Total- V. Taxis,Total Taxis,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,8595.0,52218.0
Transport,VI. Light Motor Vehicles (Passengers),Three seaters,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,,
Transport,VI. Light Motor Vehicles (Passengers),Four to six seaters *,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,19515.0,
Transport,Total- VI. Light Motor Vehicles (Passengers),Total Light Motor Vehicles (Passengers),,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,19515.0,113088.0
Transport,VII. Motor cycles on hire,Motor cycles on hire,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,,
Transport,Total Transport(I to VII),Total Transport,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,46742.0,272594.0
Non Transport,I. Two wheelers,Scooters,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,602.0,
Non Transport,I. Two wheelers,Mopeds,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Motor cycles,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,333450.0,
Non Transport,Total-I. Two wheelers,Total Two wheelers,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,334052.0,2230069.0
Non Transport,II. Cars,Cars,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,23495.0,160340.0
Non Transport,III. Jeeps,Jeeps,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,9071.0,84949.0
Non Transport,IV. Omni buses,Omni buses,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,,
Non Transport,V. Tractors,Tractors,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,22954.0,219509.0
Non Transport,VI. Trailers,Trailers,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,11404.0,126618.0
Non Transport,VII. Other vehicles not covered,Other vehicles not covered,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,1289.0,18801.0
Non Transport,Total Non Transport (I to VII),Total Non-Transport,,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,402265.0,2840286.0
Transport + Non-transport,Grand Total (Transport + Non-Transport),Grand Total (Transport + Non-Transport),,,,,rtyb_2011_12tab2.2.4_Bihar.csv,,,,,,,,,,,,,,,449007.0,3112880.0
